player,comp,round,date,venue,opp,pos,min,type,assisted,time_class,assist,solo,year,month,day,dayofweek,dayofyear,weekofyear,quarter,goal
ronaldo,Liga NOS,6,2002-10-07,H,Moreirense ,RW,34,,,first_half,0,solo,2002,10,7,1,280,41,4,1
ronaldo,Liga NOS,6,2002-10-07,H,Moreirense ,,90,,,secound_half,0,solo,2002,10,7,1,280,41,4,1
ronaldo,Liga NOS,8,2002-10-26,A,Boavista,,88,,Carlos Martins,secound_half,Carlos Martins,assisted,2002,10,26,6,299,43,4,1
ronaldo,Taça de Portugal Placard,Fourth Round,2002-11-24,H,Estarreja,,67,Left-footed shot,César Prates,secound_half,César Prates,assisted,2002,11,24,7,328,47,4,1
ronaldo,Taça de Portugal Placard,Fifth Round,2002-12-18,H,Oliv. Hospital,,13,,,first_half,0,solo,2002,12,18,3,352,51,4,1
ronaldo,Premier League,11,2003-11-01,H,Portsmouth  ,RW,80,Right-footed shot,,secound_half,0,solo,2003,11,1,6,305,44,4,1
ronaldo,FA Cup,Fifth Round,2004-02-14,H,Man City,RW,74,Tap-in,Ryan Giggs,secound_half,Ryan Giggs,assisted,2004,2,14,6,45,7,1,1
ronaldo,Premier League,29,2004-03-20,H,Spurs  ,,89,Right-footed shot,,secound_half,0,solo,2004,3,20,6,80,12,1,1
ronaldo,Premier League,32,2004-04-10,A,Birmingham  ,,60,Header,Ryan Giggs,secound_half,Ryan Giggs,assisted,2004,4,10,6,101,15,2,1
ronaldo,Premier League,38,2004-05-15,A,Aston Villa  ,,4,Right-footed shot,,first_half,0,solo,2004,5,15,6,136,20,2,1
ronaldo,FA Cup,Final,2004-05-22,H,Millwall,RW,44,Header,Gary Neville,first_half,Gary Neville,assisted,2004,5,22,6,143,21,2,1
ronaldo,Premier League,16,2004-12-04,H,Southampton  ,,87,Right-footed shot,Gary Neville,secound_half,Gary Neville,assisted,2004,12,4,6,339,49,4,1
ronaldo,FA Cup,Third Round,2005-01-19,A,Exeter City,,9,,Paul Scholes,first_half,Paul Scholes,assisted,2005,1,19,3,19,3,1,1
ronaldo,Premier League,24,2005-01-22,H,Aston Villa  ,,8,Right-footed shot,Louis Saha,first_half,Louis Saha,assisted,2005,1,22,6,22,3,1,1
ronaldo,Premier League,25,2005-02-01,A,Arsenal  ,RW,54,Left-footed shot,Ryan Giggs,secound_half,Ryan Giggs,assisted,2005,2,1,2,32,5,1,1
ronaldo,Premier League,25,2005-02-01,A,Arsenal  ,RW,58,Tap-in,Ryan Giggs,secound_half,Ryan Giggs,assisted,2005,2,1,2,32,5,1,1
ronaldo,FA Cup,Fifth Round,2005-02-19,A,Everton,,58,Tap-in,Paul Scholes,secound_half,Paul Scholes,assisted,2005,2,19,6,50,7,1,1
ronaldo,FA Cup,Sixth Round,2005-03-12,A,Southampton,,451,Left-footed shot,Ruud van Nistelrooy,extra_time,Ruud van Nistelrooy,assisted,2005,3,12,6,71,10,1,1
ronaldo,Premier League,30,2005-03-19,H,Fulham  ,,21,Right-footed shot,Roy Keane,first_half,Roy Keane,assisted,2005,3,19,6,78,11,1,1
ronaldo,FA Cup,Semi-Finals,2005-04-17,A,Newcastle,RW,76,Right-footed shot,Ruud van Nistelrooy,secound_half,Ruud van Nistelrooy,assisted,2005,4,17,7,107,15,2,1
ronaldo,Champions League Qualifying,3rd round,2005-08-09,H,Debrecen,,63,Right-footed shot,Paul Scholes,secound_half,Paul Scholes,assisted,2005,8,9,2,221,32,3,1
ronaldo,Premier League,11,2005-10-29,A,Middlesbrough  ,,90,Header,Paul Scholes,secound_half,Paul Scholes,assisted,2005,10,29,6,302,43,4,1
ronaldo,EFL Cup,Round of 16,2005-11-30,H,West Brom,RW,12,Penalty,,first_half,0,solo,2005,11,30,3,334,48,4,1
ronaldo,Premier League,20,2005-12-31,H,Bolton  ,,68,Right-footed shot,Wayne Rooney,secound_half,Wayne Rooney,assisted,2005,12,31,6,365,52,4,1
ronaldo,Premier League,20,2005-12-31,H,Bolton  ,,90,Left-footed shot,Ruud van Nistelrooy,secound_half,Ruud van Nistelrooy,assisted,2005,12,31,6,365,52,4,1
ronaldo,Premier League,25,2006-02-04,H,Fulham  ,,14,Direct free kick,,first_half,0,solo,2006,2,4,6,35,5,1,1
ronaldo,Premier League,25,2006-02-04,H,Fulham  ,,87,Right-footed shot,,secound_half,0,solo,2006,2,4,6,35,5,1,1
ronaldo,Premier League,26,2006-02-11,A,Portsmouth  ,RW,38,Left-footed shot,,first_half,0,solo,2006,2,11,6,42,6,1,1
ronaldo,Premier League,26,2006-02-11,A,Portsmouth  ,,45,Right-footed shot,Wayne Rooney,first_half,Wayne Rooney,assisted,2006,2,11,6,42,6,1,1
ronaldo,EFL Cup,Final,2006-02-26,H,Wigan,RW,59,,Louis Saha,secound_half,Louis Saha,assisted,2006,2,26,7,57,8,1,1
ronaldo,Premier League,28,2006-03-06,A,Wigan  ,,74,Right-footed shot,Ruud van Nistelrooy,secound_half,Ruud van Nistelrooy,assisted,2006,3,6,1,65,10,1,1
ronaldo,Premier League,38,2006-05-07,H,Charlton  ,RW,23,Left-footed shot,Ryan Giggs,first_half,Ryan Giggs,assisted,2006,5,7,7,127,18,2,1
ronaldo,Premier League,1,2006-08-20,H,Fulham  ,,19,,Wayne Rooney,first_half,Wayne Rooney,assisted,2006,8,20,7,232,33,3,1
ronaldo,Premier League,6,2006-09-23,A,Reading  ,CF,73,,John O'Shea,secound_half,John O'Shea,assisted,2006,9,23,6,266,38,3,1
ronaldo,Premier League,10,2006-10-28,A,Bolton  ,,82,,Louis Saha,secound_half,Louis Saha,assisted,2006,10,28,6,301,43,4,1
ronaldo,Premier League,11,2006-11-04,H,Portsmouth  ,RW,10,Direct free kick,,first_half,0,solo,2006,11,4,6,308,44,4,1
ronaldo,Premier League,15,2006-11-29,H,Everton  ,,39,,,first_half,0,solo,2006,11,29,3,333,48,4,1
ronaldo,Premier League,17,2006-12-09,H,Man City  ,,84,,,secound_half,0,solo,2006,12,9,6,343,49,4,1
ronaldo,Premier League,19,2006-12-23,A,Aston Villa  ,,58,,,secound_half,0,solo,2006,12,23,6,357,51,4,1
ronaldo,Premier League,19,2006-12-23,A,Aston Villa  ,,85,,Gary Neville,secound_half,Gary Neville,assisted,2006,12,23,6,357,51,4,1
ronaldo,Premier League,20,2006-12-26,H,Wigan  ,,47,,Paul Scholes,secound_half,Paul Scholes,assisted,2006,12,26,2,360,52,4,1
ronaldo,Premier League,20,2006-12-26,H,Wigan  ,,50,Penalty rebound,Ji-sung Park,secound_half,Ji-sung Park,assisted,2006,12,26,2,360,52,4,1
ronaldo,Premier League,21,2006-12-30,H,Reading  ,RW,58,,Ole Gunnar Solskjaer,secound_half,Ole Gunnar Solskjaer,assisted,2006,12,30,6,364,52,4,1
ronaldo,Premier League,21,2006-12-30,H,Reading  ,,77,,Ryan Giggs,secound_half,Ryan Giggs,assisted,2006,12,30,6,364,52,4,1
ronaldo,Premier League,23,2007-01-13,H,Aston Villa  ,,34,Header,Michael Carrick,first_half,Michael Carrick,assisted,2007,1,13,6,13,2,1,1
ronaldo,Premier League,25,2007-01-31,H,Watford  ,RW,12,Penalty,,first_half,0,solo,2007,1,31,3,31,5,1,1
ronaldo,Premier League,26,2007-02-03,A,Spurs  ,RW,45,Penalty,,first_half,0,solo,2007,2,3,6,34,5,1,1
ronaldo,Premier League,28,2007-02-24,A,Fulham  ,,88,Solo run,,secound_half,0,solo,2007,2,24,6,55,8,1,1
ronaldo,FA Cup,Sixth Round,2007-03-10,A,Middlesbrough,,68,Penalty,,secound_half,0,solo,2007,3,10,6,69,10,1,1
ronaldo,FA Cup,6th round,2007-03-19,H,Middlesbrough,,76,Penalty,,secound_half,0,solo,2007,3,19,1,78,12,1,1
ronaldo,Champions League,Quarter-Finals,2007-04-10,H,AS Roma,RW,44,Right-footed shot,Ryan Giggs,first_half,Ryan Giggs,assisted,2007,4,10,2,100,15,2,1
ronaldo,Champions League,Quarter-Finals,2007-04-10,H,AS Roma,,49,Right-footed shot,Ryan Giggs,secound_half,Ryan Giggs,assisted,2007,4,10,2,100,15,2,1
